,2020,2019,2018,2017,2016,2015,2021,2014,2008,2009,2010,2011,2006,2007,2012,2013,2001,1999,2000,2004,2005,2002,2003
ROC___LWDB.L,,4.180829888225387,-0.9009528877654532,1.7163749031758326,3.0771451335404088,,,,,,,,,,,,,,,,,,
ROC___RCP.L,,3.8441955193482684,0.37490664675130697,-30.875,-5.5671406003159545,,,,,,,,,,,,,,,,,,
ROC___MFG.AX,2.1457590207637143,3.6753094377611832,3.0012224991313823,2.630664915987937,,,,,,,,,,,,,,,,,,,
ROC___III.L,0.4903846153846154,2.4748490945674044,3.0820021299254527,3.4660529344073647,,,,,,,,,,,,,,,,,,,
ROC___MLT.AX,1.903026718240472,2.4593522430094548,1.7001593685967975,1.7164539122421878,,,,,,,,,,,,,,,,,,,
ROC___PTM.AX,2.5819365301520656,2.255367686527107,2.5310025910464953,2.3292593307249865,,,,,,,,,,,,,,,,,,,
ROC___ARG.AX,2.0562542378753457,2.095152423788106,1.408549989561202,1.60649215115015,,,,,,,,,,,,,,,,,,,
ROC___OCG,,1.6212895374822496,2.906244756082944,,,,,,,,,,,,,,,,,,,,
ROC___NGI.AX,0.9151826894513844,1.4666693715259465,1.6126574135926173,1.7482341217503443,,,,,,,,,,,,,,,,,,,
ROC___ARNA,-0.7658762072308192,1.3439328734824585,-0.6270518438230441,-0.6691539375282327,,,,,,,,,,,,,,,,,,,
ROC___APD.AX,,1.2677606563938364,0.7817956826619001,1.929321334833146,0.18722845844195,,,,,,,,,,,,,,,,,,
ROC___ALNU.ME,0.7078664887846619,1.2279756157989141,1.4812525741814944,2.9292851076241875,,,,,,,,,,,,,,,,,,,
ROC___NVEC,0.8868801239076941,1.1581144621639416,1.117172824123283,0.9825098664497679,,,,,,,,,,,,,,,,,,,
ROC___CARERATING.NS,0.4586184922657914,1.1268523338510426,1.2132825452104947,0.8060671398529252,,,,,,,,,,,,,,,,,,,
ROC___UG,0.6922088549285831,0.9806451272879634,1.0009697840337957,0.9208692337876988,,,,,,,,,,,,,,,,,,,
ROC___SOM.L,0.7878787878787878,0.9648893725063474,1.1389029865313294,1.1945142427729376,,,,,,,,,,,,,,,,,,,
ROC___SUNTV.NS,0.7066525115941219,0.9294584236596528,0.9241070237682396,1.0017177824989558,,,,,,,,,,,,,,,,,,,
ROC___ASM.AS,0.7650525551197908,0.9047677906426036,0.3565052958412649,0.1694368563132953,,,,,,,,,,,,,,,,,,,
ROC___SSL.AX,0.4305044529347665,0.8693734008733945,0.4173761479342245,0.41218855455215536,,,,,,,,,,,,,,,,,,,
ROC___CORT,0.5891757871830989,0.8175874408910931,0.8865291081811968,1.1111695082725421,,,,,,,,,,,,,,,,,,,
ROC___ASW.AX,0.8522379223129803,0.8001058601311307,0.9109433782798088,1.0383565772137882,,,,,,,,,,,,,,,,,,,
ROC___PXT.TO,0.28201062791620823,0.7779547033274047,0.8899868699843206,0.4222266055950696,,,,,,,,,,,,,,,,,,,
