,2020,2019,2018,2017,2016,2015,2021,2014,2008,2009,2010,2011,2006,2007,2012,2013,2001,1999,2000,2004,2005,2002,2003
P_t_FCF___A,46.61271493266833,43.16789535334873,41.08065645714286,52.431132364656385,,,,,,,,,,,,,,,,,,,
P_t_FCF___A1G.AX,,-12.34744961870646,-16.19630414022408,,,,,,,,,,,,,,,,,,,,
P_t_FCF___A1G.DE,-1.5765787554405364,-29.586083885209714,-63.21932075471698,-10.922979625101874,,,,,,,,,,,,,,,,,,,
P_t_FCF___A1OS.DE,8.674831306811475,29.42322162162162,18.67577253955143,17.698578034682082,,,,,,,,,,,,,,,,,,,
P_t_FCF___A2B.AX,5.148376045095146,8.345313301036365,7.500800529129692,4.658121649837413,,,,,,,,,,,,,,,,,,,
P_t_FCF___A2M.AX,15.041978088806982,22.14221819387951,27.74436930291974,64.51999047745008,,,,,,,,,,,,,,,,,,,
P_t_FCF___A2ZINFRA.NS,-2.100387984895935,0.8413827594336696,2.357098989112449,1.3504331785854409,,,,,,,,,,,,,,,,,,,
P_t_FCF___A3D.AX,-3.21518479309686,-2.700328940106409,-3.5779212779894918,-5.35331797604974,,,,,,,,,,,,,,,,,,,
P_t_FCF___A4N.AX,-59.39290621644024,-89.99101786344464,-112.83108462015825,-232.59937792720677,,,,,,,,,,,,,,,,,,,
P_t_FCF___A4S.DE,4.999588032171582,10.181144691537762,9.190207816016427,16.44243646730345,,,,,,,,,,,,,,,,,,,
P_t_FCF___A4Y.DE,,-3.3155570966489845,-3.5612358320131188,-10.122428819718754,11.853434848975438,,,,,,,,,,,,,,,,,,
P_t_FCF___A6T.DE,,33.09616033230966,-41.12660294117647,30.90175690607735,-19.286958620689656,,,,,,,,,,,,,,,,,,
P_t_FCF___A7A.DE,,130.17575175175176,89.07231232876713,73.26511323943662,147.11038009049773,,,,,,,,,,,,,,,,,,
P_t_FCF___A8A.DE,,29.456563138097795,84.59670370370371,37.43165858654831,100.21693601462523,,,,,,,,,,,,,,,,,,
P_t_FCF___AA,141.46066731707316,18.892141237785015,118.3650481632653,7.081669548229549,,,,,,,,,,,,,,,,,,,
P_t_FCF___AAA.L,-617.438173780815,-1702.7507732061076,-2019.1737065091795,-1242.148893487292,,,,,,,,,,,,,,,,,,,
P_t_FCF___AAAP.L,,-4.517118096357227,-3.774234722055174,-5.2128957235749205,-4.250841113227525,,,,,,,,,,,,,,,,,,
P_t_FCF___AAC.AX,-280.5494296936371,-55.04190860753641,-11.98776262083781,1159.5435844155845,,,,,,,,,,,,,,,,,,,
P_t_FCF___AAD.DE,,24.494651379614464,33.745115730093296,33.38726567061652,43.8338420607632,,,,,,,,,,,,,,,,,,
P_t_FCF___AAF.L,4.503610484268126,6.545008477137177,5.9104834183123875,-25.719838,,,,,,,,,,,,,,,,,,,
P_t_FCF___AAG.DE,,-40.44470150322119,14.976144191902458,-23.047623087905365,17.422524822695035,,,,,,,,,,,,,,,,,,
P_t_FCF___AAJ.AX,,-5.346066628166469,-3.3570466404199624,-9.525637424009169,,,,,,,,,,,,,,,,,,,
P_t_FCF___AAL,-1.8789213504293611,-35.25984635761589,-75.34297358490566,-13.017693887530562,,,,,,,,,,,,,,,,,,,
P_t_FCF___AALB.AS,17.084256586080585,19.948682840034216,24.078482436757874,20.72889799111111,,,,,,,,,,,,,,,,,,,
P_t_FCF___AAL.L,19.39558659766616,13.092020953424658,10.257231334585457,6.624276760353491,,,,,,,,,,,,,,,,,,,
P_t_FCF___AAMC,,-5.101158119051002,-13.949903651903652,-42.193950646298475,-25.502167613636363,,,,,,,,,,,,,,,,,,
P_t_FCF___AAME,,-62.026388059701496,27.844341708542714,9.643751367478867,126.47989565217391,,,,,,,,,,,,,,,,,,
P_t_FCF___AAM.SW,28.534427600202942,19.260738630136988,15.090248671854038,9.745513221278808,,,,,,,,,,,,,,,,,,,
P_t_FCF___AAN,3.084897228073602,8.34116414729596,7.405902291584685,14.304360690201658,,,,,,,,,,,,,,,,,,,
P_t_FCF___AAOG.L,,-0.2224980694980695,-0.27431380446722814,-0.42904391172525647,-0.4723822435210291,,,,,,,,,,,,,,,,,,
P_t_FCF___AAOI,-3.589135583279172,-6.813320092684542,-3.915493990488543,13.075389235389235,,,,,,,,,,,,,,,,,,,
P_t_FCF___AAON,61.995041500032784,62.25318836715548,215.05807778030476,232.32242933480745,,,,,,,,,,,,,,,,,,,
P_t_FCF___AAP,,20.42216299473843,19.742883159758502,29.649987548869106,,,17.358396426780914,,,,,,,,,,,,,,,,
P_t_FCF___AAP.AX,-23.163914071738272,-4.250009169122528,-29.867816989098195,29.853836161226177,,,,,,,,,,,,,,,,,,,
P_t_FCF___AAPL,27.45729093229742,34.202732770442815,31.415669581697102,38.9076399205779,,,,,,,,,,,,,,,,,,,
P_t_FCF___AAR.AX,-13.583985789746421,-25.198368209330194,-25.849603049497006,-73.43398511545067,,,,,,,,,,,,,,,,,,,
P_t_FCF___AARTIDRUGS.NS,34.22503380069957,100.83444796063826,-1455.7734120460696,105.2009745534151,,,,,,,,,,,,,,,,,,,
P_t_FCF___AARTIIND.NS,-427.50592424751125,-381.4863002821808,-78.25185257681864,-364.1085369775561,,,,,,,,,,,,,,,,,,,
P_t_FCF___AARVEEDEN.NS,0.6450803027695989,-3.1259418525820353,1.980826166821387,0.6714273864060509,,,,,,,,,,,,,,,,,,,
P_t_FCF___AASB.OL,20.76613234030364,2.7486613205937553,6.197971016970889,0.8336589791799631,,,,,,,,,,,,,,,,,,,
P_t_FCF___AASP,,-101.74247115113988,-83.34299950046751,-66.7662456262762,-50.8168065914327,,,,,,,,,,,,,,,,,,
P_t_FCF___AAT,32.14294546199033,31.165243140069325,24.860901968427207,20.75074075053123,,,,,,,,,,,,,,,,,,,
P_t_FCF___AAU,,-13.348329537330608,-3.7497743468152205,-4.865989529039283,-9.602543233866857,,,,,,,,,,,,,,,,,,
P_t_FCF___AAU.L,,,,-19.076901818181817,-38.12607558139535,,,,,,,,,,,,,,,,,,
P_t_FCF___AAVAS.NS,-15.13398683766923,-13.979908740852444,-19.052251052771346,-30.1574246657523,,,,,,,,,,,,,,,,,,,
P_t_FCF___AAV.TO,-8.478679261574595,-27.932803094953634,-7.612721803578627,-11.681812082133765,,,,,,,,,,,,,,,,,,,
P_t_FCF___AAWW,2.2846436564764394,-35.93794646545547,-5.915679540376636,-7.956657993467102,,,,,,,,,,,,,,,,,,,
P_t_FCF___AAX.V,-13.317014168874554,-19.93313025563032,-1405.4223815461346,-59.906126679156536,,,,,,,,,,,,,,,,,,,
P_t_FCF___AAZ.L,,6.92284557733157,5.433017330858994,8.451507975340053,9.139255026455027,,,,,,,,,,,,,,,,,,
P_t_FCF___AB9.DE,,-17.54143703703704,-14.126852998000203,13.805841332935838,-73.51994073028753,,,,,,,,,,,,,,,,,,
P_t_FCF___ABA.AX,64.35679888914603,8.077782141404752,7.586363160192056,20.99552495281238,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABAN.NS,-0.16796194902031253,12.27405171943054,0.6784248357041993,0.10785488798469561,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABB,64.00108242642642,40.90664193474088,29.710539657992566,20.983617113226124,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABB.NS,150.17893689900427,56.522412885659655,76.14161842983721,48.79538796870357,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABBN.SW,59.35959690890891,37.94001107613563,27.555872356877323,19.461843554972102,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABBOTINDIA.NS,51.33146423962459,64.36009576654234,230.44804969715247,109.33738792548408,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABBV,10.87714829112567,14.29903850673348,14.280031261865666,19.36457637663026,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABBY.L,-21.898008633895,8.99057202481347,-35.080780814277745,-312.0031746031746,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABC,12.9149866368268,11.667571503800028,22.074443073665762,22.866513505778418,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABCA.PA,,17.388824990702865,20.75390608078118,17.229282729651057,37.394873960332696,,,,,,,,,,,,,,,,,,
P_t_FCF___ABCAPITAL.NS,7.285498901436705,-2.802630828531691,-2.4230724114231466,-3.7961180057516395,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABC.AX,16.960401736227045,19.998583937007876,15.392849454545454,15.039645655070318,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABCB,4.9947090172758495,-4.0946672718409065,-32.8020027606639,-58.76287735593016,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABCE,,-1.824031333053574,-3.523754868257568,-7.051713756885133,-1.4897608971920349,,,,,,,,,,,,,,,,,,
P_t_FCF___ABCL,,-6444.781873166495,-4822.853003076206,,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABC.L,67.38496636182903,64.56121539047619,72.270017228145,60.203620035523976,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABCM,93.82322640159046,89.89158643809523,100.62491019189765,83.82430351687388,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABCP,,2.2414195323246218,-3.0351795110593716,-3.129163706192991,-4.374528859060403,,,,,,,,,,,,,,,,,,
P_t_FCF___ABCZY,86.48890274353877,82.86460586666666,92.7588871641791,77.27161293072824,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABDP.L,-186.5059217501052,109.19324532019705,83.614593738212,-71.37911948843023,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABEA.DE,26.866333520995262,37.16370680098153,50.413206334968464,48.14633065796629,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABEO,,-3.031536750133808,-4.334017950945113,-8.912060557091218,-15.485635409739157,,,,,,,,,,,,,,,,,,
P_t_FCF___ABEO.PA,3.3089025413097244,91.13037709772952,19.700186086214256,8.284579736157228,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABEV,3.0960472625843876,3.2940250504550304,2.967799008034995,2.988992871814332,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABFRL.NS,59.22353564619165,80.04974555357217,75.31610829355935,149.4472851770906,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABG,6.013523643564357,12.471578809034908,-120.66871947019868,16.268729142857143,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABI.BR,14.868157389592124,11.928751866395848,10.644708391904139,9.889849288053139,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABILF,,-0.25136279558591695,-0.4583589497891913,-0.23411481989036806,-0.22240254788915753,,,,,,,,,,,,,,,,,,
P_t_FCF___ABIO,,-12.535736940686785,-7.302887487875848,-3.446879313304721,-4.015882125475032,,,,,,,,,,,,,,,,,,
P_t_FCF___ABIO.PA,27.955279467849223,53.07666515113244,-40.01596800710953,-32.53297992465294,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABL.AX,,-1.000568713700464,-0.680664069186998,-0.6939634634818077,-0.34250613319367107,,,,,,,,,,,,,,,,,,
P_t_FCF___ABL.DE,31.227806680642907,39.7394320675856,36.43456286995516,40.30393809244645,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABM,8.058760390941597,16.64524856720827,12.520925866666667,-65.51647255813954,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABMC,,,,35.42862773722628,24.63818274111675,,,,,,,,,,,,,,,,,,
P_t_FCF___ABMD,50.05539044862945,65.13526414432762,99.21282125794723,209.5903625600841,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABMINTLTD.NS,45.59633260521334,-20.821946201163758,1326.7373559322034,-14.45467839253976,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABML,-232.97723062141213,-289.8949257440264,-935.4833592727142,-1896.3311984067832,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABMT,19.38166811157976,-15.685579329781433,-13.311630126691242,-21.388327824209686,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABN.AS,,3.962520351219512,41.12995807594937,-1.7826993533284565,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABNB,-177.29447980296897,1215.8692301207916,234.23638256956863,783.1604833764841,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABNX.PA,,,-3.8971427622841968,-2.5755773998902907,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABO.BR,,10.46693810178817,52.660650519031144,40.911096774193545,36.99901458670988,,,,,,,,,,,,,,,,,,
P_t_FCF___AB.PA,,-44.27952347870835,-25.237185511072006,-29.418756015214324,-20.219993890259666,,,,,,,,,,,,,,,,,,
P_t_FCF___ABP.AX,,,,19.22682657810739,24.414194351887257,18.727192035665205,,18.532290213704627,,,,,,,,,,,,,,,
P_t_FCF___ABQQ,,-18.18929168352356,-17.208548510409205,-14787.531561461794,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABR.AX,-86.80426251823043,-104.5944761090251,-62.81696254318182,-313.1959325446854,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABR.DE,9.293772845673505,27.61038699646643,85.6300221369863,46.718920896860986,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABRD.ME,,-779.9386687395892,-464.74277380505987,-46.3270306478955,40.20310087198764,,,,,,,,,,,,,,,,,,
P_t_FCF___ABS2.DE,,4.636995816586006,6.623464776355488,-2.534761442487697,-10.123498567335243,,,,,,,,,,,,,,,,,,
P_t_FCF___ABST,33.28680386200318,97.80587690010724,72.8566875789761,-215.59652850380283,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABST.TO,41.24711069874251,121.19546977868154,90.27985595048594,-267.1549336586198,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABT,37.21636763102725,47.360268634948866,43.42162419894007,48.03303006087937,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABT.SW,37.62404128022362,47.87906009070698,43.89727115532001,48.559191045772266,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABTX,,16.127717587225607,20.228484803001876,27.558151762037127,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABUS,,-4.932325665200084,-5.117527331748884,-6.316718946765884,-5.7065958210112955,,,,,,,,,,,,,,,,,,
P_t_FCF___ABV.AX,88.98394897959183,-11.010640151515151,-9.803740303541316,-14.906712820512821,,,,,,,,,,,,,,,,,,,
P_t_FCF___ABVX.PA,,-10.113477581473921,-18.70131146687492,-30.47988459906661,-17.59840480127381,,,,,,,,,,,,,,,,,,
P_t_FCF___ABX.AX,,-5.064801026957638,-14.360254777070063,-21.980389972144845,-38.39883211678832,,,,,,,,,,,,,,,,,,
P_t_FCF___ABX.TO,13.838817703241153,41.11302467844523,127.50669571506849,69.566433387145,,,,,,,,,,,,,,,,,,,
P_t_FCF___AC8.AX,-2.992916367471855,-3.9277224536936095,-9.655587634559238,-15.397039674116801,,,,,,,,,,,,,,,,,,,
P_t_FCF___ACA,16.539573993250844,10.756167724945135,39.90144173677069,36.943922814070355,,,,,,,,,,,,,,,,,,,
P_t_FCF___ACAD,-30.89538705974832,-29.16940592017549,-26.190952480922782,-20.31991991545004,,,,,,,,,,,,,,,,,,,
P_t_FCF___ACAN,226.45615339107746,-3.69595245982243,-9.612722764770254,-13.277788450762852,,,,,,,,,,,,,,,,,,,
P_t_FCF___ACAN.PA,,107.02366725663717,-20.115892215568863,-53.37014298323036,-2.8629502390985277,,,,,,,,,,,,,,,,,,
