,0
382,AHT-PI
383,AHX.AX
384,AHY.AX
385,AI
386,AIA.AX
387,AIAENG.NS
388,AIEA.L
389,AIF.TO
390,AIG
391,AIG.SW
392,AIH
393,AIHS
394,AIKI
395,AIL.DE
396,AIM
397,AIMC
398,AIM.TO
399,AIN
400,AINC
401,AINN.DE
402,AI.PA
403,AIR
404,AIRAN.NS
405,AIR.AX
406,AIR.DE
407,AIRE.L
408,AIRE.SW
409,AIRG
410,AIRI
411,AIR.L
412,AIR.PA
413,AIRT
414,AIS.AX
415,AIT
416,AITX
417,AIV
418,AIV.AX
419,AIXA.DE
420,AIY.DE
421,AIZ
422,AIZ.AX
423,AIZP
424,AJ91.DE
425,AJANTPHARM.NS
426,AJAX.AS
427,AJB.L
428,AJG
429,AJJ.AX
430,AJL.AX
431,AJM.AX
432,AJMERA.NS
433,AJQ.AX
434,AJRD
435,AJX
436,AJX.AX
437,AJX.TO
438,AJY.AX
439,AK3.DE
440,AKAM
441,AKA.PA
442,AKASH.NS
443,AKBA
444,AKBM.OL
445,AKE.PA
446,AKER
447,AKER.OL
448,AKG.AX
449,AKM.AX
450,AKO-B
451,AKP.AX
452,AKR
453,AKRN.ME
454,AKSHARCHEM.NS
455,AKSHOPTFBR.NS
456,AKSO.OL
457,AKTS
458,AKTX
459,AKU
460,AKUS
461,AKU.TO
462,AKVA.OL
463,AKW.PA
464,AKZA.AS
465,AKZOINDIA.NS
466,AL3.AX
467,AL8.AX
468,ALACT.PA
469,ALADA.PA
470,ALADM.PA
471,ALADO.PA
472,ALAGP.PA
473,ALAGR.PA
474,ALALO.PA
475,ALAMG.PA
476,ALANKIT.NS
477,ALANT.PA
478,ALANV.PA
479,ALARF.PA
480,ALATF.PA
481,ALA.TO
482,ALAVY.PA
483,ALB
484,ALBA.L
485,ALBDM.PA
486,ALBERTDAVD.NS
487,ALBFR.PA
488,ALBI.PA
489,ALBKK.PA
490,ALBK.ME
491,ALBLD.PA
492,ALBLU.PA
493,ALBO
494,ALBOU.PA
495,ALBPS.PA
496,ALC
497,ALCAR.PA
498,ALC.AX
499,ALCES.PA
500,ALCG.PA
501,ALCHEM.NS
502,ALCHI.PA
503,ALCJ.PA
504,ALCLA.PA
505,ALCLS.PA
506,ALCO
507,ALCOF.PA
508,ALCOI.PA
509,ALCOR.PA
510,ALCRB.PA
511,ALC.SW
512,ALC.TO
513,ALCUR.PA
514,ALCYB.PA
515,ALDAR.PA
516,ALD.AX
517,ALDBL.PA
518,ALDBT.PA
519,ALD.DE
520,ALDEI.PA
521,ALDEL.PA
522,ALDEV.PA
523,ALDLS.PA
524,ALDNE.PA
525,ALDNX.PA
526,ALD.PA
527,ALDR.PA
528,ALDRV.PA
529,ALDUB.PA
530,ALDV.PA
531,ALDX
532,ALE
533,ALEAC.PA
534,ALEC
535,ALECO.PA
536,ALECR.PA
537,ALEMBICLTD.NS
538,ALEMK.BR
539,ALEMV.PA
540,ALENE.PA
541,ALENT.PA
542,ALEO2.PA
543,ALERS.PA
544,ALESA.PA
545,ALESK.PA
546,ALEUP.PA
547,ALEX
548,ALFA.L
549,ALFIL.PA
550,ALFLE.PA
551,ALFOC.PA
552,ALFPC.PA
553,ALFRE.PA
554,ALG
555,ALGAU.PA
556,ALG.AX
557,ALGBE.PA
558,ALG.DE
559,ALGEM.PA
560,ALGEN.PA
561,ALGEP.PA
562,ALGEV.PA
563,ALGIL.PA
564,ALGLD.PA
565,ALGM
566,ALGN
567,ALGS
568,ALGT
569,ALGTR.PA
570,ALHEO.PA
571,ALHGR.PA
572,ALHIO.PA
573,ALHRG.PA
574,ALI2S.PA
575,ALICON.NS
576,ALICR.PA
577,ALIDS.PA
578,ALIM
579,ALIMM.BR
580,ALIMP.PA
581,ALINV.PA
582,ALIVA.PA
583,ALJJ
584,ALJXR.PA
585,ALK
586,ALKALI.NS
587,ALKAL.PA
588,ALK.AX
589,ALKEM.NS
590,ALKER.PA
591,ALKKO.PA
592,ALKLK.PA
593,ALKS
594,ALKYLAMINE.NS
595,ALL
596,ALLAN.PA
597,ALL.AX
598,ALLCARGO.NS
599,ALLDL.PA
600,ALLE
601,ALLEC.PA
602,ALLEX.PA
603,ALLHB.PA
604,ALLIX.PA
605,ALLK
606,ALLLN.PA
607,ALLN.SW
608,ALLO
609,ALLOG.PA
610,ALL-PI
611,ALLSEC.NS
612,ALLT
613,ALLY
614,ALMAK.PA
615,ALMAR.PA
616,ALMAS.PA
617,ALMDG.PA
618,ALMDT.PA
619,ALMEC.PA
620,ALMER.PA
621,ALMGI.PA
622,ALMIB.PA
623,ALMIC.PA
624,ALMII.PA
625,ALMIL.PA
626,ALM.L
627,ALMLB.PA
628,ALMND.PA
629,ALMNG.PA
630,ALMONDZ.NS
631,ALMOU.PA
632,ALM.PA
633,ALMRB.PA
634,ALMUN.PA
635,ALNA
636,ALNEV.PA
637,ALNLF.PA
638,ALNN6.PA
639,ALNOV.PA
640,ALNOX.PA
641,ALNSC.PA
642,ALNSE.PA
643,ALNU.ME
644,ALNXT.PA
645,ALNY
646,ALOBR.PA
647,ALODI.PA
648,ALOKINDS.NS
649,ALONC.PA
650,ALO.PA
651,ALORD.PA
652,ALOSM.PA
653,ALOT
654,ALPA.NS
655,ALPAR.PA
656,ALPAT.PA
657,ALPAU.PA
658,ALPC
659,ALPCV.PA
660,ALPDX.PA
661,ALPHAGEO.NS
662,ALPHA.PA
663,ALPHI.PA
664,ALPHS.PA
665,ALPHY.PA
666,ALPIX.PA
667,ALPJT.PA
668,ALPLA.PA
669,ALPN
670,ALPOU.PA
671,ALPP
672,ALP.PA
673,ALPRE.PA
674,ALPRI.PA
675,ALPRO.PA
676,ALPSINDUS.NS
677,ALQ.AX
678,ALQGC.PA
679,ALQP.PA
680,ALREA.PA
681,ALREW.PA
682,ALRM
683,ALRN
684,ALROC.PA
685,ALRS
686,ALRS.ME
687,ALSAF.PA
688,ALSAS.PA
689,ALS.DE
690,ALSEI.PA
691,ALSEN.PA
692,ALSER.PA
693,ALSGD.PA
694,ALSIM.PA
695,ALSK
696,ALS.L
697,ALSN
698,ALSN.SW
699,ALSPW.PA
700,ALSTW.PA
701,ALT
702,ALTA
703,ALTAN.PA
704,ALTA.PA
705,ALT.AX
706,ALTBG.PA
707,ALTD
708,ALTER.PA
709,ALTEV.PA
710,ALTG
711,ALTHE.PA
712,ALTHX.PA
713,ALT.L
714,ALTM
715,ALTN.L
716,ALTR
717,ALTRI.PA
718,ALTR.LS
719,ALTRO.PA
720,ALTTI.PA
721,ALTUR.PA
722,ALTUV.PA
723,ALTVO.PA
724,ALTX
725,ALTXC.PA
726,ALU10.PA
727,ALU.AX
728,ALUCI.PA
729,ALUCR.PA
730,ALU.L
731,ALUMS.PA
732,ALUPG.PA
733,ALUVI.PA
734,ALV
735,ALVAL.PA
736,ALV.DE
737,ALVDM.PA
738,ALVER.PA
739,ALVGO.PA
740,ALVIV.PA
741,ALVMG.PA
742,ALVR
743,ALVU.PA
744,ALWEC.PA
745,ALWED.PA
746,ALWIT.PA
747,ALX
748,ALX.AS
749,ALX.AX
750,ALXN
751,ALXO
752,ALYA
753,ALYA.TO
754,ALY.AX
755,AM
756,AM3D.DE
757,AMA.AX
758,AMAL
759,AMAR
760,AMARAJABAT.NS
761,AMAT
762,AMBA
763,AMBC
764,AMBER.NS
765,AMBIKCO.NS
766,AMBO
767,AMBUJACEM.NS
768,AMC
769,AMC.L
770,AMCR
771,AMCT
772,AMCX
773,AMD
774,AMD.AX
775,AMD.DE
776,AMDIND.NS
777,AMD.SW
778,AME
779,AME.AX
780,AMED
781,AMEH
782,AMEZ.ME
783,AMG
784,AMG.AS
785,AMG.AX
786,AMG.DE
787,AMGN
788,AMGO.L
789,AMH
790,AMHG
791,AMH-PD
792,AMH-PE
793,AMH-PH
794,AMI.AX
795,AMIH
796,AMJLAND.NS
797,AMK
798,AMKR
799,AML.AX
800,AML.L
801,AMMJ
802,AMMN.DE
803,AMM.TO
804,AMMX
805,AMN
806,AMN.AX
807,AMNB
808,AMNL
809,AMO.AX
810,AMO.L
811,AMOT
812,AMOV
813,AMP
814,AM.PA
815,AMP.AX
816,AMPE
817,AMPG
818,AMPH
819,AMPLI.PA
820,AMPY
821,AMRB
822,AMRC
823,AMRK
824,AMRN
825,AMRS
826,AMRUTANJAN.NS
827,AMRX
828,AMS
829,AMS.AX
830,AMSC
831,AMSC.OL
832,AMSF
833,AMS.SW
834,AMST
835,AMSU
836,AMSWA
837,AMT
838,AMT.AX
839,AMTB
840,AMTBB
841,AMTI
842,AMTX
843,AMTY
844,AMWD
845,AMWL
846,AMX.AX
847,AMYT
848,AMYT.L
849,AMZ.DE
850,AMZN
851,AN
852,ANAB
853,ANANTRAJ.NS
854,ANAT
855,ANCN
856,ANCR.L
857,ANDE
858,ANDHRACEMT.NS
859,ANDHRAPAP.NS
860,ANDHRSUGAR.NS
861,ANDR
862,AND.TO
863,ANET
864,ANF
865,ANG.AX
866,ANGELBRKG.NS
867,ANGI
868,ANG.L
869,ANGO
870,ANGS.L
871,ANH
872,ANIK
873,ANIKINDS.NS
874,ANIP
875,ANIX
876,ANKITMETAL.NS
877,ANL.AX
878,ANL.DE
879,ANN.AX
880,ANNX
881,ANO.AX
882,ANP.AX
883,ANPC
884,ANP.L
885,ANR.AX
886,ANSALAPI.NS
887,ANSALHSG.NS
888,ANSS
889,ANSU
890,ANTE
891,ANTH
892,ANTM
893,ANTO.L
894,ANUP.NS
895,ANVV
896,ANW.AX
897,ANX.L
898,ANX.TO
899,ANY
900,ANZ.AX
901,AO1.AX
902,AOA.AX
903,AOF.AX
904,AOF.DE
905,AOI.TO
906,AO.L
907,AOMD.DE
908,AON
909,AON.AX
910,AOP.AX
911,AOS
912,AOSL
913,AOU.AX
914,AOUT
915,AOX.SW
916,AOXY
917,AP
918,AP2.DE
919,APA
920,APA.AX
921,APAM
922,APAM.AS
923,APARINDS.NS
924,APC.AX
925,APC.DE
926,APCL.NS
927,APCOTEXIND.NS
928,APCX
929,APD
930,APD.AX
931,APDN
932,APE.AX
933,APEI
934,APEN
935,APEX
936,APEX.NS
937,APF.L
938,APG
939,APG.AX
940,APGN.IR
941,APGN.SW
942,APH
943,APHA
944,APHA.TO
945,APH.AX
946,APHE
947,APH.L
948,API
949,API.AX
950,APLAPOLLO.NS
951,APLE
952,APLI.TO
953,APLLTD.NS
954,APLS
955,APLT
956,APM
957,APM.DE
958,APO
959,APOG
960,APOLLOHOSP.NS
961,APOLLO.NS
962,APOLLOPIPE.NS
963,APOLLOTYRE.NS
964,APOLSINHOT.NS
965,APO-PA
966,APO-PB
967,APPF
968,APP.L
969,APPN
970,APPS
971,APQ.L
972,APR
973,APRCP
974,APRDN
975,APRDP
976,APRE
977,APRN
978,APS.TO
979,APT
980,APT.AX
981,APTD.L
982,APTECHT.NS
983,APTK.ME
984,APTO
985,APTS
986,APTV
987,APTV-PA
988,APTX
989,AP-UN.TO
990,APV.AX
991,APVO
992,APWC
993,APX.AX
994,APY.TO
995,APYX
996,APZ.AX
997,AQA.TO
998,AQB
999,AQC.AX
1000,AQD.AX
1001,AQI.AX
1002,AQMS
1003,AQN
1004,AQN.TO
1005,AQS.AX
1006,AQSG.L
1007,AQST
1008,AQUA
1009,AQUA.ME
1010,AQUA.OL
1011,AQX.AX
1012,AQX.L
1013,AQZ.AX
1014,AR
1015,AR4.DE
1016,AR9.AX
1017,ARA.AX
1018,ARAO
1019,ARAV
1020,ARAY
1021,ARB.AX
1022,ARBB.L
1023,ARB.L
1024,ARBN.SW
1025,ARC
1026,ARCAD.AS
1027,ARCB
1028,ARCC
1029,ARCE
1030,ARCH
1031,ARCHIDPLY.NS
1032,ARCHIES.NS
1033,ARC.L
1034,ARCM.L
1035,ARCO
1036,ARCOTECH.NS
1037,ARCT
1038,ARCUS.OL
1039,ARCW
1040,ARD
1041,ARD.AX
1042,ARDN.L
1043,ARDS
1044,ARDX
1045,ARE
1046,ARE.AX
1047,AREB
1048,AREC
1049,AREIT.PA
1050,ARE.L
1051,ARENTERP.NS
1052,ARES
1053,ARES-PA
1054,ARE.TO
1055,ARF.AX
1056,ARG.AX
1057,ARGC
1058,ARGO
1059,ARGO.L
1060,ARGO-PA
1061,ARG.PA
1062,ARGQ
1063,ARG.TO
1064,ARGX.BR
1065,ARIES.NS
1066,ARIHANT.NS
1067,ARIHANTSUP.NS
1068,ARIX.L
1069,ARKR
1070,ARL
1071,ARL.AX
1072,ARL.DE
1073,ARLO
1074,ARLP
1075,ARMANFIN.NS
1076,ARMK
1077,ARMP
1078,ARNA
1079,ARN.AX
1080,ARNC
1081,ARO.AX
1082,AROC
1083,AROGRANITE.NS
1084,ARO.L
1085,AROW
1086,ARPO
1087,ARQT
1088,ARR.AX
1089,ARRD.DE
1090,ARROWGREEN.NS
1091,ARRY
1092,ARSA.ME
1093,ARSHIYA.NS
1094,ARS.L
1095,ARSSINFRA.NS
1096,ART.DE
1097,ARTE.PA
1098,ARTH
1099,ARTL
1100,ARTL.L
1101,ARTNA
1102,AR.TO
1103,ARTO.PA
1104,ARTW
1105,ARU.AX
1106,ARV.AX
1107,ARVINDFASN.NS
1108,ARVIND.NS
1109,ARVN
1110,ARVSMART.NS
1111,ARW
1112,ARW.L
1113,ARWR
1114,ARX.TO
1115,ARYN.SW
1116,AS1.AX
1117,ASAHIINDIA.NS
1118,ASAHISONG.NS
1119,ASAI.L
1120,ASALCBR.NS
1121,ASAL.NS
1122,ASAN
1123,ASA.OL
1124,ASB
1125,ASB.AX
1126,ASC
1127,ASC.BR
1128,ASCK
1129,ASC.L
1130,ASCL.L
1131,ASCN.SW
1132,ASDN
1133,ASFT
1134,ASG.AX
1135,ASG.DE
1136,ASGN
1137,ASH
1138,ASHAPURMIN.NS
1139,ASH.AX
1140,ASHIANA.NS
1141,ASHIMASYN.NS
1142,ASHM.L
1143,ASHOKA.NS
1144,ASHOKLEY.NS
1145,ASIANHOTNR.NS
1146,ASIANPAINT.NS
1147,ASIANTILES.NS
1148,ASIT.BR
1149,ASIX
1150,ASL.DE
1151,ASLI.L
1152,ASLN
1153,ASM
1154,ASM.AS
1155,ASMB
1156,ASME.DE
1157,ASML
1158,ASML.AS
1159,ASM.TO
1160,ASN.AX
1161,ASNB
1162,ASND
1163,ASND.TO
1164,ASO
1165,ASP.AX
1166,ASPINWALL.NS
1167,ASPL.L
1168,ASPN
1169,ASP.PA
1170,ASPS
1171,ASP.TO
1172,ASPU
1173,ASQ.AX
1174,ASR
1175,ASRNL.AS
1176,ASRT
1177,ASRV
1178,ASSB.ME
1179,AST.AX
1180,ASTC
1181,ASTE
1182,ASTEC.NS
1183,ASTERDM.NS
1184,ASTI
1185,AST.L
1186,ASTO.L
1187,ASTRAL.NS
1188,ASTRAMICRO.NS
1189,ASTRAZEN.NS
1190,ASTRON.NS
1191,ASUR
1192,ASW.AX
1193,ASWN.SW
1194,ASX
1195,ASX.AX
1196,ASY.L
1197,ASY.PA
1198,ASYS
1199,AT
1200,AT1.AX
1201,AT1.DE
1202,ATA.PA
1203,ATA.TO
1204,ATAX
1205,ATC
1206,ATC.AS
1207,ATC.AX
