,2020,2019,2018,2017,2016,2015,2021,2014,2008,2009,2010,2011,2006,2007,2012,2013,2001,1999,2000,2004,2005,2002,2003
D_t_A___A,0.915286869464767,0.98989898989899,0.7819578491234981,0.6579333089043605,,,,,,,,,,,,,,,,,,,
D_t_A___A1G.AX,,0.12676023155025812,0.07418477516086446,,,,,,,,,,,,,,,,,,,,
D_t_A___A1G.DE,1.2323754652161465,1.1169267930137496,1.1176957609655578,1.1521584822868942,,,,,,,,,,,,,,,,,,,
D_t_A___A1OS.DE,0.8657851257345431,0.8880159403600218,0.8778446679015612,0.9672343702779376,,,,,,,,,,,,,,,,,,,
D_t_A___A2B.AX,0.4313543059836018,0.3375621031377029,0.2904078885327903,0.22668431891732863,,,,,,,,,,,,,,,,,,,
D_t_A___A2M.AX,0.22160729234489815,0.22029457598150104,0.22866842657875655,0.3088601946957615,,,,,,,,,,,,,,,,,,,
D_t_A___A2ZINFRA.NS,0.8132705052536428,0.698337580584303,0.9328111809689861,0.9485000031241972,,,,,,,,,,,,,,,,,,,
D_t_A___A3D.AX,0.3661978955439381,0.313912619886605,0.11773426205105768,0.13235163213002146,,,,,,,,,,,,,,,,,,,
D_t_A___A4N.AX,0.05316382391136569,0.12229806154521701,0.07595348158099961,0.18620167020816675,,,,,,,,,,,,,,,,,,,
D_t_A___A4S.DE,0.9763621941546159,0.975046383427435,,,,,,,,,,,,,,,,,,,,,
D_t_A___A4Y.DE,,,,,0.5790181050368007,,,,,,,,,,,,,,,,,,
D_t_A___A6T.DE,,0.12454543065696766,0.1290630761766133,0.36951158536585366,0.0706140350877193,,,,,,,,,,,,,,,,,,
D_t_A___A7A.DE,,0.02068213310650441,0.018374473431379795,0.020989561743980104,0.05933699489996077,,,,,,,,,,,,,,,,,,
D_t_A___A8A.DE,,1.3712359893834374,1.337606404539927,1.500987386928271,1.5524935326243174,,,,,,,,,,,,,,,,,,
D_t_A___AA,0.671029311520109,0.6060711067988079,0.5365486058779201,0.6180140444547617,,,,,,,,,,,,,,,,,,,
D_t_A___AAA.L,0.0030399281565762653,0.21321828208896584,0.05641981650377436,0.010332717552781416,,,,,,,,,,,,,,,,,,,
D_t_A___AAAP.L,,1.022638705968917,0.7959001528490856,1.0977893693288476,0.7890437311222768,,,,,,,,,,,,,,,,,,
D_t_A___AAC.AX,0.36423849375011774,0.3449388727160015,0.32894398939176855,0.3422153450825246,,,,,,,,,,,,,,,,,,,
D_t_A___AAD.DE,,2.49038222941117,0.4476227831787746,0.4603120203841397,0.43557530014967677,,,,,,,,,,,,,,,,,,
D_t_A___AAF.L,1.2344771241830066,1.4637140977855734,2.6083377588953796,2.5792584631918323,,,,,,,,,,,,,,,,,,,
D_t_A___AAG.DE,,0.4430828140573797,0.4812949343880683,0.5182384941096366,0.7478471230297976,,,,,,,,,,,,,,,,,,
D_t_A___AAJ.AX,0.2798798175045502,0.36084420414359475,0.08826474366106014,0.09733425957911493,,,,,,,,,,,,,,,,,,,
D_t_A___AAL,1.2323754652161465,1.1169267930137496,1.1176957609655578,1.1521584822868942,,,,,,,,,,,,,,,,,,,
D_t_A___AALB.AS,,0.758598191816572,0.7694840834248079,0.7835519677093845,,,,,,,,,,,,,,,,,,,
D_t_A___AAL.L,,0.4667206874458222,0.4553951414201063,0.501171005894063,,,,,,,,,,,,,,,,,,,
D_t_A___AAMC,,0.21067457932692307,0.13715640002430773,0.12810704290658587,0.13212569203625965,,,,,,,,,,,,,,,,,,
D_t_A___AAME,,0.7710166824796786,0.7973515933770139,0.7475819883701676,0.7422783116960022,,,,,,,,,,,,,,,,,,
D_t_A___AAM.SW,,0.4667206874458222,0.4553951414201063,0.501171005894063,,,,,,,,,,,,,,,,,,,
D_t_A___AAN,0.4979477448457106,0.7720176089055633,0.7649171350183206,,,,,,,,,,,,,,,,,,,,
D_t_A___AAOG.L,,,1.9840413576084512,0.6095085100310764,,,,,,,,,,,,,,,,,,,
D_t_A___AAOI,0.4308591958416144,0.42225240951468457,0.3013812523383707,0.26704333719375994,,,,,,,,,,,,,,,,,,,
D_t_A___AAON,0.22017943155330114,0.22092666128510585,0.19243802155400497,,,,,,,,,,,,,,,,,,,,
D_t_A___AAP,,0.8065176358862997,0.7319957630971845,0.7353932334775063,,,0.8145784536010567,,,,,,,,,,,,,,,,
D_t_A___AAP.AX,0.5944404225569415,0.6538053474918787,0.5938813398861209,0.5544650271128052,,,,,,,,,,,,,,,,,,,
D_t_A___AAPL,0.7982666847799239,0.7326921031797611,0.7070285050242668,0.6428451530564666,,,,,,,,,,,,,,,,,,,
D_t_A___AAR.AX,0.054607196252531215,0.11385417966864192,0.09062729066893062,0.23829098146386873,,,,,,,,,,,,,,,,,,,
D_t_A___AARTIDRUGS.NS,0.5866722513977224,0.6278789351614407,0.6744163561096039,0.667455163890259,,,,,,,,,,,,,,,,,,,
D_t_A___AARTIIND.NS,0.514738817167279,0.5366952269397707,0.6232738157612979,0.592728478980134,,,,,,,,,,,,,,,,,,,
