ROC___AAJ.AX,-0.40690554865295886,-3.178459620311115,-2.4812350161372208,-0.8822566287945162,,,,,,,,,,,,,,,,,,,
ROC___AAL,-0.6738984703516363,0.24342002315901481,0.2311146653543307,0.3818610393983612,,,,,,,,,,,,,,,,,,,
ROC___AALB.AS,0.42743307368609545,0.41379310344827586,0.5120465496863351,0.5711179203321143,,,,,,,,,,,,,,,,,,,
ROC___AAL.L,0.29801944865732893,0.30659745070800126,0.2775191309466474,0.276695450716091,,,,,,,,,,,,,,,,,,,
ROC___AAMC,,-0.40570914812317377,,,,,,,,,,,,,,,,,,,,,
ROC___AAME,,0.18415989739204788,,,,,,,,,,,,,,,,,,,,,
ROC___AAM.SW,0.29801944865732893,0.30659745070800126,0.2775191309466474,0.276695450716091,,,,,,,,,,,,,,,,,,,
ROC___AAN,0.42332964903006715,0.31549713387498096,0.44897911236355426,,,,,,,,,,,,,,,,,,,,
ROC___AAOG.L,,,1.7332115121059846,-2.6369490688493613,,,,,,,,,,,,,,,,,,,
ROC___AAOI,-0.26629809553407374,-0.2724970652356197,-0.06134424100174325,0.4872623957679548,,,,,,,,,,,,,,,,,,,
ROC___AAON,0.5048727238824331,0.4399964021612731,0.4393332552601788,0.6096969155045786,,,,,,,,,,,,,,,,,,,
ROC___AAP,,0.30599482216156315,0.34647421433637854,0.3493108062927332,,,0.2979934527606905,,,,,,,,,,,,,,,,
ROC___AAP.AX,-0.28594037711385684,-0.03372571152638472,-0.13161445475223724,4.498902712761075,,,,,,,,,,,,,,,,,,,
ROC___AAPL,1.584756804571046,1.3533166100403264,2.500193955637056,1.9912357581069238,,,,,,,,,,,,,,,,,,,
ROC___AAR.AX,-0.45800044537495144,-0.22722949637375103,-0.36148004312215154,-0.5549162507176493,,,,,,,,,,,,,,,,,,,
ROC___AARTIDRUGS.NS,0.45708622996993126,0.3916331439836822,0.4281804983603993,0.4552772718657896,,,,,,,,,,,,,,,,,,,
ROC___AARTIIND.NS,0.39872059108490554,0.4477050707698488,0.4374064108794513,0.5417165933275886,,,,,,,,,,,,,,,,,,,
ROC___AARVEEDEN.NS,-0.008692173657081323,0.225085328244111,0.2578850134202543,0.23696449836271768,,,,,,,,,,,,,,,,,,,
ROC___AASB.OL,-0.0,-0.0,-0.0,-0.0,,,,,,,,,,,,,,,,,,,
ROC___AASP,,,,1.0529409243692334,6.670825164854749,,,,,,,,,,,,,,,,,,
ROC___AAT,0.06594069201213242,0.08589532760697816,0.07530660920002764,0.0855031112044447,,,,,,,,,,,,,,,,,,,
ROC___AAU,,-0.10884740465255054,-0.12428596868837213,-0.17974686422647806,-0.19090471039542004,,,,,,,,,,,,,,,,,,
ROC___AAU.L,,-0.66988863206556,-1.180293501048218,-1.5411764705882354,-0.836059034702832,,,,,,,,,,,,,,,,,,
ROC___AAVAS.NS,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
ROC___AAV.TO,0.012789562788423083,-0.035373989854210586,0.03232247329094937,0.17167707376609606,,,,,,,,,,,,,,,,,,,
ROC___AAWW,0.2283401105357889,0.09789854070274258,0.13804586586959883,0.12801255214375776,,,,,,,,,,,,,,,,,,,
ROC___AAX.V,-0.26648437435144573,-0.7366824486941989,-1.3691799643540512,-0.529386536138534,,,,,,,,,,,,,,,,,,,
ROC___AAZ.L,,0.4816131385728256,0.4751506483766602,0.1847012685581656,0.21704773561811505,,,,,,,,,,,,,,,,,,
ROC___AB9.DE,,0.2897291801982435,0.4013331846185137,0.37815305360381646,0.43903340572009425,,,,,,,,,,,,,,,,,,
ROC___ABA.AX,-0.0,-0.0,-0.0,-0.0,,,,,,,,,,,,,,,,,,,
ROC___ABAN.NS,0.10953560605507284,0.21630963123901928,-0.06282141330988786,0.0328450573746193,,,,,,,,,,,,,,,,,,,
ROC___ABB,0.420194348263152,0.474995518910199,0.6277314263011522,0.4525871172122492,,,,,,,,,,,,,,,,,,,
ROC___ABB.NS,0.11318935854007953,0.3163933244658197,0.2446609488617082,0.23379798470972796,,,,,,,,,,,,,,,,,,,
ROC___ABBN.SW,0.420194348263152,0.474995518910199,0.6277314263011522,0.4525871172122492,,,,,,,,,,,,,,,,,,,
