,0
389,AEV.AX
390,AEVS.SW
391,AEWU.L
392,AEXL
393,AEX.L
394,AEY
395,AEYE
396,AEZS
397,AEZS.TO
398,AF
399,AFA
400,AFA.AX
401,AFAM
402,AFB
403,AFBI
404,AFC
405,AFC.L
406,AFEM
407,AFFLE.NS
408,AFFX
409,AFG
410,AFG.AX
411,AFGB
412,AFGE
413,AFGH
414,AFG.OL
415,AFH
416,AFHBL
417,AFHP.L
418,AFI
419,AFI.AX
420,AFIB
421,AFIN
422,AFINO
423,AFINP
424,AFK.OL
425,AFKS.ME
426,AFL
427,AFL.AX
428,AFLT.ME
429,AFMC.L
430,AFMD
431,AFM.L
432,AFN.L
433,AFN.TO
434,AFOP
435,AF.PA
436,AFP.AX
437,AFP.SW
438,AFR.AX
439,AFRK.L
440,AFRM
441,AFSD
442,AFSI
443,AFS.L
444,AFSS
445,AFT.AX
446,AFTM
447,AFTPY
448,AFW
449,AFX.DE
450,AFX.L
451,AFYA
452,AG
453,AGARIND.NS
454,AGB2.DE
455,AGBA
456,AGBAR
457,AGBAU
458,AGBAW
459,AGCNET.NS
460,AGCO
461,AGD.AX
462,AGE
463,AGE.AX
464,AGEN
465,AGFB.BR
466,AGFS
467,AGFSW
468,AGFX.L
469,AGH.AX
470,AGI
471,AGI.AX
472,AGIO
473,AGI.TO
474,AGJ.AX
475,AGJ.DE
476,AGK.L
477,AGL.AX
478,AGLE
479,AGL.L
480,AGM
481,AGMA
482,AGMH
483,AGM.L
484,AGM-PE
485,AGM-PF
486,AGN
487,AGN.AS
488,AGNC
489,AGNCB
490,AGNCP
491,AGO
492,AGOE
493,AGR
494,AGR.AX
495,AGRITECH.NS
496,AGR.L
497,AGRO
498,AGRO.L
499,AGRO.ME
500,AGROPHOS.NS
501,AGRX
502,AGS
503,AGS.AX
504,AGS.BR
505,AGTA.L
506,AGTA.PA
507,AGTC
508,AGTK
509,AGT.L
510,AGTX
511,AGX
512,AGY.AX
513,AGY.L
514,AGYS
515,AHAC
516,AHACU
517,AHC
518,AHC.DE
519,AHCO
520,AHCOW
521,AHC.TO
522,AHF.AX
523,AHGP
524,AHH
525,AHL
526,AHLA.DE
527,AHL.AX
528,AHLEAST.NS
529,AHL-PE
530,AHLUCONT.NS
531,AHLWEST.NS
532,AHNR
533,AHNRE
534,AHOG.DE
535,AHPI
536,AHQ.AX
537,AHT
538,AHT.L
539,AH.TO
540,AHT-PD
541,AHT-PI
542,AHX.AX
543,AHY.AX
544,AI
545,AIA.AX
546,AIAENG.NS
547,AIB.AX
548,AIBG.L
549,AIDG
550,AIEA.L
551,AIE.L
552,AIF.L
553,AIF.TO
554,AIG
555,AIG+
556,AIG.SW
557,AIG-WT
558,AIH
559,AIHS
560,AIII
561,AII.TO
562,AIKI
563,AIKO
564,AIL.DE
565,AILIP
566,AILNP
567,AIM
568,AIMC
569,AIMCV
570,AIMT
571,AIM.TO
572,AIN
573,AINC
574,AINN.DE
575,AINV
576,AIONJSW.NS
577,AI.PA
578,AIQ
579,AIQ.AX
580,AIQ.L
581,AIR
582,AIRAN.NS
583,AIR.AX
584,AIRC
585,AIR.DE
586,AIRE.L
587,AIRE.SW
588,AIRG
589,AIRI
590,AIR.L
591,AIRM
592,AIR.PA
593,AIRT
594,AIRTW
595,AIRX.OL
596,AIS.AX
597,AIT
598,AI.TO
599,AITX
600,AITXD
601,AIV
602,AIV.AX
603,AIVI
604,AIW
605,AIXA.DE
606,AIXND
607,AIY
608,AIY.DE
609,AIZ
610,AIZ.AX
611,AIZN
612,AIZP
613,AJ91.DE
614,AJANTPHARM.NS
615,AJAX.AS
616,AJAX-UN
617,AJB.L
618,AJC.AX
619,AJG
620,AJG.L
621,AJIT.L
622,AJJ.AX
623,AJL.AX
624,AJM.AX
625,AJMERA.NS
626,AJQ.AX
627,AJRD
628,AJX
629,AJX.AX
630,AJX.TO
631,AJY.AX
632,AK3.DE
633,AKAM
634,AKAO
635,AKA.OL
636,AKA.PA
637,AKASH.NS
638,AKBA
639,AKBM.OL
640,AKCA
641,AKE.PA
642,AKER
643,AKERBP.OL
644,AKER.OL
645,AKG.AX
646,AKM.AX
647,AKN.AX
648,AKO-B
649,AKOM
650,AKOM.PA
651,AKP.AX
652,AKR
653,AKRN.ME
654,AKRO
655,AKRX
656,AKRXQ
657,AKS
658,AKSHARCHEM.NS
659,AKSHOPTFBR.NS
660,AKSO.OL
661,AKTS
662,AKTX
663,AKU
664,AKUS
665,AKU.TO
666,AKVA.OL
667,AKW.PA
668,AKX.DE
669,AKZA.AS
670,AKZOINDIA.NS
671,AL
672,AL3.AX
673,AL8.AX
674,ALAC
675,ALACT.PA
676,ALACU
677,ALADA.PA
678,ALADM.PA
679,ALADO.PA
680,ALAGP.PA
681,ALAGR.PA
682,ALAI.L
683,ALALO.PA
684,ALAMG.PA
685,ALANKIT.NS
686,ALANT.PA
687,ALANV.PA
688,ALAQU.PA
689,ALARF.PA
690,ALATF.PA
691,ALA.TO
692,ALAVY.PA
693,ALB
694,ALBA.L
695,ALBDM.PA
696,ALBERTDAVD.NS
697,ALBFR.PA
698,ALBIO.PA
699,ALBI.PA
700,ALBKK.PA
701,ALBK.ME
702,ALBLD.PA
703,ALBLU.PA
704,ALBO
705,ALBOU.PA
706,ALBPS.PA
707,ALBUD.PA
708,ALC
709,ALCAR.PA
710,ALC.AX
711,ALCES.PA
712,ALCG.PA
713,ALCHEM.NS
714,ALCHI.PA
715,ALCJ.PA
716,ALCLA.PA
717,ALCLS.PA
718,ALCO
719,ALCOF.PA
720,ALCOG.PA
721,ALCOI.PA
722,ALCOR.PA
723,ALCRB.PA
724,ALC.SW
725,ALC.TO
726,ALCUR.PA
727,ALCYB.PA
728,ALDA
729,ALDAR.PA
730,ALD.AX
731,ALDBL.PA
732,ALDBT.PA
733,ALD.DE
734,ALDEI.PA
735,ALDEL.PA
736,ALDEV.PA
737,ALDIE.PA
738,ALDLS.PA
739,ALDNE.PA
740,ALDNX.PA
741,ALD.PA
742,ALDR
743,ALDR.PA
744,ALDRV.PA
745,ALDS
746,ALDUB.PA
747,ALDV.PA
748,ALDW
749,ALDX
750,ALE
751,ALEAC.PA
752,ALEC
753,ALECO.PA
754,ALECR.PA
755,ALEMBICLTD.NS
756,ALEMK.BR
757,ALEMV.PA
758,ALENE.PA
759,ALENR.PA
760,ALENT.PA
761,ALEO2.PA
762,ALERS.PA
763,ALESA.PA
764,ALESK.PA
765,ALEUP.PA
766,ALEVA.BR
767,ALEX
768,ALEZV.PA
769,ALFA.L
770,ALF.AX
771,ALFBA.PA
772,ALFEN.AS
773,ALFIL.PA
774,ALF.L
775,ALFLE.PA
776,ALFOC.PA
777,ALFPC.PA
778,ALFRE.PA
779,ALG
780,ALGAU.PA
781,ALG.AX
782,ALGBE.PA
783,ALG.DE
784,ALGEM.PA
785,ALGEN.PA
786,ALGEP.PA
787,ALGEV.PA
788,ALGIL.PA
789,ALGLD.PA
790,ALGM
791,ALGN
792,ALGR
793,ALGRU
794,ALGRW
795,ALGS
796,ALGT
797,ALGTR.PA
798,ALHEO.PA
799,ALHGR.PA
800,ALHIO.PA
801,ALHIT.PA
802,ALHRG.PA
803,ALHSW.PA
804,ALHVS.PA
805,ALHYG.PA
806,ALI2S.PA
807,ALI.AX
808,ALICON.NS
809,ALICR.PA
810,ALID
811,ALIDS.PA
812,ALIM
813,ALIMM.BR
814,ALIMO.PA
815,ALIMP.PA
816,ALIMR.PA
817,ALINS.PA
818,ALINT.PA
819,ALINV.PA
820,ALIVA.PA
821,ALJ
822,ALJJ
823,ALJXR.PA
824,ALK
825,ALKALI.NS
826,ALKAL.PA
827,ALK.AX
828,ALKEM.NS
829,ALKER.PA
830,ALKKO.PA
831,ALKLK.PA
