,0
402,ASL.L
403,ASNA
404,ASNAQ
405,ASPI
406,ASPL
407,ASR.TO
408,ASRVP
409,ASV
410,ATAC
411,ATACU
412,ATAC-WT
413,ATAD.L
414,ATAO
415,ATCXW
416,ATH
417,ATHA
418,ATHN
419,ATH-PC
420,ATH-PD
421,ATIS
422,ATML
423,ATMS
424,ATNFW
425,ATNWW
426,ATNY
427,ATPT
428,ATR.L
429,ATS.L
430,ATSX
431,ATT.L
432,ATTP
433,ATU.AX
434,ATUS-W
435,ATW
436,ATXI
437,ATY.L
438,AU8.AX
439,AUCT.L
440,AUG
441,AUGM.L
442,AUG.TO
443,AUSI
444,AUTL
445,AVANCE.OL
446,AVCT.L
447,AVCTW
448,AVEO
449,AVF
450,AVHI
451,AVIID
452,AVNI
453,AVOI
454,AVP
455,AVX
456,AVXL
457,AWOX.PA
458,AWSM
459,AXA.OL
460,AXB.L
461,AXE
462,AXGT
463,AXI.L
464,AXIN
465,AXLL
466,AXN
467,AXO
468,AXPW
469,AXPWW
470,AXREF
471,AXT.AX
472,AYF.AX
473,AYFIE.OL
474,AYR
475,AYR.AX
476,AYTUZ
477,AZ.TO
478,AZUR
479,AZV.AX
480,BAC.SW
481,BACWSB
482,BAF.AX
483,BAF.L
484,BANI.BR
485,BANJ
486,BANX
487,BAR
488,BAS
489,BAS.AX
490,BA.SW
491,BATS.SW
492,BAXW
493,BAYK
494,BBEP
495,BBG
496,BBH.L
497,BBK
498,BBLU
499,BBN
500,BBOX
501,BB.PA
502,BBQ
503,BBRG
504,BBX
505,BBXTB
506,BBXTD
507,BBY.DE
508,BBZA.DE
509,BCCCF
510,BCDAW
511,BCI.L
512,BCN.L
513,BCOM
514,BC-PB
515,BC-PC
516,BCR
517,BCRH
518,BCSF
519,BCTG
520,BCTXF
521,BCV
522,BCX
523,BD1.AX
524,BDBD
525,BDCOD
526,BDGE
527,BDI.AX
528,BDLF
529,BDMS
530,BDPT
531,BDRILL.OL
532,BDRY
533,BDSIW
534,BEAT
535,BEAV
536,BEE.L
537,BEEMW
538,BEL
539,BELI.PA
540,BEL.OL
541,BELR.BR
542,BENH
543,BEP
544,BEP-PA
545,BEP-UN.TO
546,BERI.L
547,BERM.L
548,BESP
549,BETR
550,BFA
551,BFB
552,BFGC
553,BFK
554,BFNH
555,BFS-B
556,BFT
557,BFT-WT
558,BFYT
559,BGB
560,BGC
561,BGCA
562,BGCPV
563,BGEU.L
564,BGF
565,BGFD.L
566,BGG
567,BGHL.AS
568,BGHL.L
569,BGLEI
570,BGLF.L
571,BGSC.L
572,BGS.L
573,BGUK.L
574,BHAC
575,BHACR
576,BHACU
577,BHACW
578,BHBK
579,BHCV
580,BHD.AX
581,BHF
582,BHFAO
583,BHFAP
584,BHGU.L
585,BHI.L
586,BHK
587,BHMG.L
588,BHRD.L
589,BHSEU
590,BHV
591,BID
592,BIGN
593,BIIBV
594,BIIO
595,BIND
596,BIOA
597,BIO-B
598,BIOG.L
599,BION.SW
600,BIOS
601,BIOX+
602,BISV.ME
603,BIT
604,BITA
605,BIVI
606,BIXT
607,BJRI
608,BKCC
609,BKJ
610,BKMU
611,BKN
612,BKPC
613,BK-PC
614,BKRP
615,BKS
616,BKT
617,BKUH
618,BKX.TO
619,BLA.AX
620,BLBD.L
621,BLE
622,BLGI
623,BLGID
624,BLIN++++++++++
625,BLIN.SW
626,BLMT
627,BLNKW
628,BLOE.L
629,BLOX
630,BLP.L
631,BLT
632,BLT.SW
633,BLUE.PA
634,BLU.L
635,BLVDW
636,BLW
637,BLYQ
638,BMAQ
639,BMBM
640,BMCH
641,BMD.L
642,BMN.L
643,BMPG.L
644,BMR
645,BMRG
646,BMRG+
647,BMRG-WT
648,BMS
649,BMSN
650,BMSND
651,BMV.L
652,BMW3.DE
653,BMW.DE
654,BMW.SW
655,BMY-RI
656,BNCN
657,BND.PA
658,BNI
659,BNK
660,BNKR.L
661,BNO
662,BNP.DE
663,BNP.PA
664,BNP.SW
665,BNP.TO
666,BOAC
667,BOAC-UN
668,BOBE
669,BOCA
670,BOD.L
671,BOJA
672,BOLD
673,BOMH
674,BONH.L
675,BON.OL
676,BONT
677,BOTHD
678,BOUVET.OL
679,BOWX
680,BOWXU
681,BOXLW
682,BOY.TO
683,BPCR.L
684,BPET.L
685,BPFHP
686,BPFHW
687,BPH.AX
688,BPL
689,BPMX
690,BPOPM
691,BPOPN
692,BPR
693,BPT
694,BQAD.L
695,BRCD
696,BRCM
697,BREB.BR
698,BRES.L
699,BRE.TO
700,BREW
701,BREZU
702,BRFI.L
703,BRGE.L
704,BRH.DE
705,BRIG.L
706,BRKA
707,BRKB
708,BRLA.L
709,BRLIU
710,BRLU
711,BRMK
712,BRMK+
713,BRMK-WT
714,BRNA.L
715,BROGR
716,BROGU
717,BRPA
718,BRPAR
719,BRPAU
720,BRPAW
721,BRPM
722,BRSC.L
723,BRSS
724,BRT
725,BRWM.L
726,BSC.L
727,BSF
728,BSFT
729,BSIF.L
730,BSLU
731,BSN
732,BSN-UN
733,BSP.AX
734,BSPK
735,BSRT.L
736,BST
737,BSTC
738,BSTCE
739,BSTZ
740,BSV.L
741,BSYN
742,BTA
743,BTAQ
744,BTAQU
745,BTBD
746,BTC.AX
747,BTE
748,BTT
749,BTTGY
750,BTTR
751,BTWNU
752,BTZ
753,BUFF
754,BUG.AX
755,BURG
756,BUT.L
757,BVA
758,BVHBB
759,BVSN
760,BVT.L
761,BWG
762,BWLA
763,BWL-A
764,BWLD
765,BWMCU
766,BWMY
767,BWMYD
768,BWP
769,BWQ.DE
770,BWR.AX
771,BXCR
772,BXLT
773,BXMT
774,BXXY
775,BYBK
776,BYIN
777,BYLK
778,BYM
779,BZI
780,BZT
781,BZYR
782,C9F.DE
783,CA
784,CAA
785,CAB
786,CACB
787,CACG
788,CACQ
789,CADC
790,CAFD
791,CAF.PA
792,CAKE
793,CALD
794,CALL
795,CAL.TO
796,CAM
797,CAM.AX
798,CAND.BR
799,CAPAU
800,CAP.DE
801,CAPNW
802,CAP-WT
803,CARB
804,CARO
805,CARP.PA
806,CART
807,CASM
808,CASN.SW
809,CAT31.PA
810,CATC.L
811,CAT.L
812,CATS
813,CATYW
814,CAVM
815,CAZAW
816,CBA.L
817,CBCO
818,CBF
819,CBHD.DE
820,CBI
821,CBK
822,CBKC
823,CBK.DE
824,CBKD.L
825,CBL
826,CBLK
827,CBM
828,CBMG
829,CBMX
830,CBNJ
831,CBPX
832,CBS
833,CBSHP
834,CBTE
835,CCAC
836,CCAC+
837,CCAC-UN
838,CCAP
839,CCC
840,CCCL
841,CCCLW
842,CCCP
843,CCD
844,CCG
845,CCH
846,CCH-WT
847,CCIHY
848,CCI-PA
849,CCJI.L
850,CCP
851,CCPG.L
852,CCR
853,CCRE
854,CCSL.L
855,CCX-WT
856,CCXX-WT
857,CCZ
858,CD2.AX
859,CD3.AX
860,CDI
861,CDIXD
862,CDJM
863,CDM.AX
864,CDM.L
865,CDSI
866,CDV.AX
867,CDV.TO
868,CEB
869,CEC
870,CECO
871,CEF
872,CEF.TO
873,CEIR.L
874,CEL
875,CELG
876,CELG-RI
877,CELGZ
878,CELZ
879,CEM
880,CEMID
881,CENB
882,CEQP^
883,CERP.L
884,CESCVENT.NS
885,CETC
886,CETV
887,CETXW
888,CFACU
889,CFBI
890,CFCB
891,CFE.AX
892,CFFA
893,CFFAU
894,CFFAW
895,CFIIU
896,CFIIW
897,CFI.PA
898,CFNL
899,CFRXW
900,CFRXZ
901,CGBD
902,CGC.AX
903,CGI.L
904,CGI.TO
905,CGL.AX
906,CGO.L
907,CGR.AX
908,CGRO
909,CGROU
910,CGROW
911,CGT.L
912,CGW.L
913,CH1A.DE
914,CHAL.L
915,CHAP
916,CHAQ
917,CHAQ+
918,CHAQ-WT
919,CHEV
920,CHFN
921,CHFSW
922,CHFW-UN
923,CHKPQ
924,CHKR
925,CHKVQ
926,CHK-W
927,CHLN
928,CHMI
929,CHMT
930,CHN
931,CHNGU
932,CHPM
933,CHPMW
934,CHSP
935,CHY
936,CIEND
937,CIE.SW
938,CIFC
939,CIFU.L
940,CIIC
941,CIICU
942,CIIT
943,CIK
944,CIM
945,CIN.AX
946,CIP.L
947,CIRC
948,CISN
949,CIT.DE
950,CITGQ
951,CIVI
952,CJ
953,CKEC
954,CKHW
955,CKP
956,CKPT
957,CLAC
958,CLACU
959,CLBH
960,CLC
961,CLCD
962,CLC.L
963,CLCT
964,CLEV
965,CLF.AX
966,CLHRF
967,CLIM.L
968,CLL.L
969,CLMS
970,CLNH
971,CLON.L
972,CLOW
973,CLRBW
974,CLRBZ
975,CLR.TO
976,CLSN.L
977,CLSU.L
978,CLTS
979,CLUB
980,CLWD
981,CMAWS
982,CMFNL
983,CMGB
984,CMHY.L
985,CMLP
986,CMLSQ
987,CMO
988,CMO.PA
989,CMPI
990,CMPX
991,CMRF
992,CMSD
993,CMU
994,CMX.L
995,CNAT
996,CNCL
997,CNCT.L
998,CND-UN
999,CNEL.L
1000,CNF.PA
1001,CNFR
1002,CNIC
1003,CNL
1004,CNMF
1005,CNO-PA
1006,CNR
1007,CNXM
1008,CNXR
1009,CNYD
1010,COB
1011,COBH.BR
1012,COBZ
1013,COFA.PA
1014,COFWS
1015,COGEC.PA
1016,COL
1017,COLE
1018,COM.DE
1019,COMD.SW
1020,CON.DE
1021,CON.SW
1022,CONXU
1023,CORA.L
1024,CORE.DE
1025,CORI
1026,CORV
1027,CORVF
1028,COSI
1029,COS.L
1030,COT
1031,COV.OL
1032,COVS
1033,COWNL
1034,CP1.AX
1035,CPAA
1036,CPAAU
1037,CPEN.SW
1038,CPER
1039,CPGX
1040,CPHD
1041,CPKA
1042,CPLA
1043,CPN
1044,CPOW
1045,CPPL
1046,CPSHE
1047,CPS.L
1048,CPSR
1049,CPTA
1050,CPT.AX
1051,CPT.L
1052,CPXX
1053,CPYA
1054,CQD.DE
1055,CQE.TO
1056,CQH
1057,CRAWA
1058,CRAY
1059,CRAYON.OL
1060,CRCM
1061,CRCQQ
1062,CRCUD
1063,CRDA
1064,CRDS
1065,CRGC
1066,CRHC
1067,CRN
1068,CRR
1069,CRRTQ
1070,CRSA
1071,CRSAU
1072,CRSAW
1073,CRS.L
1074,CRT
1075,CRTDW
1076,CRTN
1077,CRV.L
1078,CRVP
1079,CRWN
1080,CRWN.L
1081,CRZO
1082,CSA
1083,CSBK
1084,CSBRE
1085,CSC
1086,CSCD
1087,CSC.DE
1088,CSE.AX
1089,CSFL
1090,CSGN
1091,CSH
1092,CSH.L
1093,CSOFE
1094,CSPIE
1095,CSRA
1096,CSR-PC
1097,CSS
1098,CSSE
1099,CSSEN
1100,CSSEP
1101,CST
1102,CSWCL
1103,CSWCV
1104,CTAC
1105,CTACU
1106,CTAC-UN
1107,CTAPRB
1108,CTAQU
1109,CTBB
1110,CTCM
1111,CTCT
1112,CTDH
1113,CTEA.L
1114,CTGO
1115,CTICD
1116,CTI.L
1117,CTL
1118,CTO.DE
1119,CTQ
1120,CTRA
1121,CTRC
1122,CTRL
1123,CTRM
1124,CTT+++++++++++
1125,CTU
1126,CTV
1127,CTW
1128,CTWS
1129,CTXRW
1130,CTXSV
1131,CTY
1132,CTY.L
1133,CUBS
1134,CUDA
1135,CUI
1136,CUNB
1137,CUO
1138,CURIW
1139,CVA.DE
1140,CVC
1141,CVF.AX
1142,CVG
1143,CVIA
1144,CVIAQ
1145,CVLB
1146,CVLBD
1147,CVRR
1148,CVTI
1149,CVTV
1150,CWAY
1151,CWD.L
1152,CWEI
1153,CWENA
1154,CWRK
1155,CX
1156,CXE
1157,CXO
1158,CXX.AX
1159,CY
1160,CYAND
1161,CYAP
1162,CYB.TO
1163,CYHHZ
1164,CYN.L
1165,CYNO
1166,CYOU
1167,CYP.AX
1168,CYRXW
1169,CYS
1170,CYS.L
1171,CYVIZ.OL
1172,CZFC
1173,CZI.AX
1174,CZL.AX
1175,CZNI
1176,CZWI
1177,CZZ
1178,D13.AX
1179,D2O.AX
1180,DATA
1181,DAU.AX
1182,DB1.DE
1183,DB1.SW
1184,DBA
1185,DBB
1186,DBC
1187,DBCP
1188,DBDRW
1189,DBE
1190,DBO
1191,DBP
1192,DBS
1193,DBV
1194,DC6.DE
1195,DCAR
1196,DCIX
1197,DCM.NS
1198,DCP-PB
1199,DCRBU
1200,DCRBW
1201,DCUA
1202,DCUB
1203,DCUC
1204,DD7E.IR
1205,DDE
1206,DDI
1207,DDMX
1208,DDMXW
1209,DDT
1210,DDV1.L
1211,DEACU
1212,DEDAL.PA
1213,DEEPIND.NS
1214,DEH-WT
1215,DEL
1216,DERM
1217,DEST
1218,DEVC.L
1219,DF
1220,DFBH
1221,DFCOE
1222,DFHT
1223,DFHTU
1224,DFNS
1225,DFNS+
1226,DFNSU
1227,DFNS-UN
1228,DFN.TO
1229,DFP
1230,DFPH
1231,DFPHU
1232,DFRG
1233,DFT
1234,DGAS
1235,DGDM
1236,DGI
1237,DGL
1238,DGN.L
1239,DGNR
1240,DGR.DE
1241,DGSE
1242,DHR.AX
1243,DHRM
1244,DHY
1245,DIAX
1246,DIGAF
1247,DIG.L
1248,DIG.PA
1249,DISHR
1250,DIVI.L
1251,DIV.TO
1252,DJW.AX
1253,DKE.L
1254,DKG.DE
1255,DKMR
1256,DKNGW
1257,DKNGZ
1258,DLPH
1259,DLRCP
1260,DLTI
1261,DLT.PA
1262,DMB
1263,DMF
1264,DMND
1265,DMPI
1266,DMS+
1267,DMS-WT
1268,DMTKW
1269,DMTX
1270,DMYD-UN
1271,DMYI-UN
1272,DMYT
1273,DMYT+
1274,DMYT-UN
1275,DNA2.L
1276,DNA.L
1277,DNBF
1278,DNE.L
1279,DNJR
1280,DNKN
1281,DNP
1282,DNR
1283,DNRCQ
1284,DNRWW
1285,DO
1286,DOVA
1287,DP2G.L
1288,DP2K.L
1289,DPDWD
1290,DPG
1291,DPHC
1292,DPHCU
1293,DPHCW
1294,DPL
1295,DPLO
1296,DPLS
1297,DPP.L
1298,DQ5.IR
1299,DQ7A.IR
1300,DQW1.DE
1301,DRAD
1302,DRADP
1303,DREAP
1304,DRII
1305,DRIV
1306,DRUA
1307,DRVD
1308,DSAC
1309,DSCI
1310,DSE
1311,DSKX
1312,DSL
1313,DSM
1314,DSM.L
1315,DSOX
1316,DSSI
1317,DST
1318,DT3.DE
1319,DTG.L
1320,DTLK
1321,DTP
1322,DTQ
1323,DTRM
1324,DTSI
1325,DTV
1326,DTVL.L
1327,DTY
1328,DTZ
1329,DUI.AX
1330,DUKB
1331,DUKE.L
1332,DUKH
1333,DUNE
1334,DUSA
1335,DVY
1336,DWA
1337,DWAQ
1338,DWCH
1339,DWRE
1340,DWS.AX
1341,DX
1342,DXI.TO
1343,DXPA
1344,DX-PC
1345,DXR
1346,DY2.DE
1347,DYAI
1348,DYAX
1349,E
1350,E3X1.DE
1351,E8X.DE
1352,EAA
1353,EAAS.L
1354,EAB
1355,EACOD
1356,EACQ
1357,EACQU
1358,EACQW
1359,EAD
1360,EAI
1361,EARN
1362,EAT.L
1363,EAWD
1364,EBAYL
1365,EBE.DE
1366,ECA
1367,ECAC
1368,ECACR
1369,ECACU
1370,ECASA.PA
1371,ECF
1372,ECF.AX
1373,ECMT
1374,ECOLW
1375,ECOM++++++++++
1376,ECONB.BR
1377,ECP.AX
1378,ECRD
1379,ECT
1380,ECT.AS
1381,ECYT
1382,ED1.AX
1383,EDC.AX
1384,EDD
1385,EDE
1386,EDF
1387,EDGE
1388,EDGH.L
1389,EDGW
1390,EDIN.L
1391,EDL.NS
1392,EDNT
1393,EDR
1394,EDTX
1395,EE
1396,EEI
1397,EEII.SW
1398,EEM.PA
1399,EEP
1400,EEQ
1401,EFC
1402,EFC-PA
1403,EFF
1404,EFF.DE
1405,EFG
1406,EFGD.L
1407,EFH.TO
1408,EFID.L
1409,EFII
1410,EFM
1411,EFV
1412,EGAS
1413,EGD.AX
1414,EGF.AX
1415,EGL
1416,EGL.L
1417,EGN
1418,EGT
1419,EHVVF
1420,EHX.AX
1421,EIC
1422,EIDX
1423,EIGI
1424,EIM
1425,EJFI.L
1426,EJT1.DE
1427,EKKH
1428,ELAT
1429,ELCQ
