,0
418,HZD.L
419,HZON-UN
420,IACID
421,IAG
422,IAM.AX
423,IAU
424,IBB
425,IBCP
426,IBCPO
427,IBE1.DE
428,IBKC
429,IBULISL.NS
430,IBVENTURES.NS
431,ICF
432,ICGL
433,ICLDW
434,ICU.AX
435,IDIV
436,IDSA
437,IDSY
438,IDTI
439,IEAWW
440,IEF
441,IEHCE
442,IEO
443,IFBAGRO.NS
444,IFBIND.NS
445,IFF.PA
446,IFFT
447,IFMK
448,IFN
449,IFS
450,IFT.AX
451,IFTV
452,IGACU
453,IGCIW
454,IGE
455,IGE.AX
456,IGIB
457,IGSB
458,IGV
459,IHETW
460,IHS
461,IIAC-UN
462,IID
463,IJT
464,IL
465,ILG
466,IM
467,IMACW
468,IMC.L
469,IMDS
470,IMDZ
471,IMI
472,IMLFF
473,IMMU
474,IMNP
475,IMO.L
476,IMO1.DE
477,IMPN.SW
478,IMPR
479,IMPV
480,IMS
481,IMVTW
482,IMXIW
483,INAB
484,INAP
485,INAQU
486,INB
487,INBKZ
488,INCH.L
489,INDBN
490,INDIGRID.NS
491,INFRATEL.NS
492,INFRNT.OL
493,ING.PA
494,ININ
495,INLXD
496,INN.PA
497,INNO
498,INNT
499,INR.DE
500,INSA
501,INSEW
502,INST
503,INSU
504,INSUU
505,INSUW
506,INSW-PA
507,INSY
508,INTB
509,INTL
510,INTLL
511,INTX
512,INVN
513,INVOD
514,INWK
515,INXN
516,IOTS
517,IP-W
518,IPAS
519,IPATD
520,IPB
521,IPCC
522,IPHS
523,IPLP.TO
524,IPOB
525,IPOB+
526,IPOB-WT
527,IPOBU
528,IPOC
529,IPOC+
530,IPOC-WT
531,IPOCU
532,IPOD
533,IPOF
534,IPV+
535,IPV-WT
536,IPXL
537,IQNT
538,IR5B.IR
539,IRBINVIT.NS
540,IRC
541,IRDMB
542,IRDMZ
543,IRET
544,IRET-PC
545,IRRZF
546,ISCA
547,ISG
548,ISIL
549,ISLE
550,ISM
551,ISRB
552,ISRL
553,ITA
554,ITAC
555,ITACU
556,ITACW
557,ITB
558,ITC
559,ITE.OL
560,ITG
561,ITL.PA
562,IUSG
563,IUSV
564,IVH
565,IVPU.L
566,IVQ.AX
567,IVTY
568,IXYS
569,IYJ
570,IYT
571,IYZ
572,JAEREN.OL
573,JAG
574,JAH
575,JASN
576,JASNW
577,JAXB
578,JB7.DE
579,JCAP
580,JCAP-PB
581,JCI.AX
582,JCP
583,JCPNQ
584,JCQQ
585,JDR.AX
586,JDW.L
587,JE
588,JE-PA
589,JEC
590,JEFI.L
591,JEMI.L
592,JETI.L
593,JFK
594,JFKKR
595,JFKKU
596,JFKKW
597,JGH
598,JHB
599,JHY
600,JIH+
601,JIH-UN
602,JIH-WT
603,JII.L
604,JIKIND.NS
605,JITFINFRA.NS
606,JIVE
607,JIYAECO.NS
608,JJAQF
609,JKA.AX
610,JKI
611,JKPAPER.NS
612,JKS
613,JM2.DE
614,JMA.NS
615,JMBA
616,JMDA
617,JMEI
618,JMG
619,JMI
620,JMLP
621,JMPNZ
622,JMU
623,JNP
624,JNS
625,JONE
626,JOY
627,JPB.L
628,JPEI.L
629,JPEP
630,JPI
631,JPMWS
632,JPOLYINVST.NS
633,JPS.L
634,JSM
635,JTPY
636,JUBILANT.NS
637,JUNO
638,JUPWW
639,JWB
640,JWS-WT
641,JXR.PA
642,JZCC.L
643,KAP.L
644,KARD.AS
645,KAS.AX
646,KATE
647,KBLMU
648,KBLMW
649,KBRS
650,KCAC
651,KCAC-UN
652,KCEL.L
653,KCG
654,KEG
655,KEM
656,KER.TO
657,KERNW
658,KERX
659,KEY.PA
660,KEYW
661,KFH
662,KFI
663,KIDZ
664,KIMPJ
665,KIT.L
666,KITE
667,KKD
668,KKR-PC
669,KLA.DE
670,KLDA
671,KLDIW
672,KLDX
673,KLFE
674,KLMN
675,KLMND
676,KLR+
677,KLR-WT
678,KLXI
679,KMG
680,KMPA
681,KND
682,KONA
683,KRS.AX
684,KS
685,KSMT
686,KSMTU
687,KSU^
688,KTEC
689,KTEL
690,KTOSD
691,KTWO
692,KVAER.OL
693,KVHI
694,KW
695,KWAC-UN
696,KWN
697,LABL
698,LACQW
699,LAF.PA
700,LAKF
701,LANDP
702,LAR.DE
703,LARK
704,LATNW
705,LAYN
706,LAZX
707,LBCC
708,LBOW.L
709,LBSR
710,LBY
711,LBYYQ
712,LCAHU
713,LCAHW
714,LCAPU
715,LCM.AX
716,LCY
717,LCYAU
718,LDP
719,LDR
720,LDRH
721,LDSN
722,LEAP
723,LENB
724,LER.AX
725,LF
726,LFAC
727,LFACU
728,LFACW
729,LFERD
730,LFINP
731,LFTRU
732,LFVNV
733,LGC
734,LGC-WT
735,LGCY
736,LGCYQ
737,LGF
738,LGL-R
739,LGYV
740,LHC
741,LHC-WT
742,LHCU
743,LHIL
744,LHO
745,LI3.AX
746,LID.L
747,LII
748,LIK.DE
749,LILAR
750,LIME
751,LINDW
752,LINE
753,LION
754,LIOX
755,LIVKW
756,LJPCD
757,LK
758,LKSD
759,LKSDQ
760,LLEX
761,LLEXQ
762,LLTC
763,LLTIE
764,LM
765,LMBHW
766,LMFAW
767,LMI
768,LMIA
769,LMNL.TO
770,LMOS
771,LN
772,LNBY
773,LNCE
774,LNCO
775,LNCWS
776,LNFA-UN
777,LNG.AX
778,LNKD
779,LNTA.L
780,LOACU
781,LOACW
782,LOAK+
783,LOAK-WT
784,LOCK
785,LOGG
786,LOGM
787,LOGMV
788,LOJN
789,LON.AX
790,LOVA
791,LOXO
792,LPNT
793,LPSB
794,LPT
795,LQMTE
796,LRM.AX
797,LSAA.L
798,LSAC
799,LSACU
800,LSBG
801,LSE.L
802,LSRG.L
803,LSSDF
804,LSXMR
805,LTD.DE
806,LTM
807,LTOD.L
808,LTRXD
809,LTS
810,LU2.DE
811,LUXAU
812,LV2B.DE
813,LVDW
814,LVGO
815,LVLT
816,LVXI
817,LXK
818,LXRP
819,LY0.DE
820,LZGI
821,MA1.DE
822,MAACU
823,MACU
824,MADL
825,MAGAA
826,MAGIS.PA
827,MAIL.L
828,MAMME
829,MAMS
830,MANINFRA.NS
831,MAR.AX
832,MASW
833,MATE.L
834,MATR
835,MAX.TO
836,MB
837,MBFI
838,MBFIP
839,MBRG
840,MBTF
841,MBVT
842,MCACU
843,MCC
844,MCD.DE
845,MCMJW
846,MCP.DE
847,MCRN
848,MCS.L
849,MCT.L
850,MCTC
851,MCV
852,MDAS
853,MDCO
854,MDGSW
855,MDI.AX
856,MDI.TO
857,MDJH
858,MDLQ
859,MDLX
860,MDMG.L
861,MDR
862,MDRIQ
863,MDRPD
864,MDRPF
865,MDRXD
866,MDSO
867,MDSY
868,MDTR
869,MDVN
870,MDVP
871,MDWTD
872,MEC.AX
873,MED.L
874,MEET
875,MELR
876,MEMP
877,MENT
878,MEP
879,MEQ.AX
880,MER-PK
881,MERF.ME
882,MERI.L
883,MESG
884,METR
885,MFAC
886,MFAC-WT
887,MFLX
888,MFO
889,MFRM
890,MFSF
891,MGCD
892,MGEN
893,MGG.DE
894,MGHLD
895,MGN
896,MGNT.L
897,MGR
898,MGT
899,MGZ.AX
900,MHD.AX
901,MHGC
902,MHID.L
903,MHLDO
904,MHN.L
905,MHNA
906,MHNB
907,MHNC
908,MHTXE
909,MICTW
910,MIGT
911,MINI
912,MINI.L
913,MITL
914,MITTPRB
915,MJC.AX
916,MJCO
917,MJN
918,MKCV
919,MKRS
920,MKTO
921,MKV
922,MLACU
923,MLECO.PA
924,MLG
925,MLL.AX
926,MLL.DE
927,MLM
928,MLMAQ.PA
929,MLNT
930,MLNX
931,MLOLM.PA
932,MLSSW
933,MMDM
934,MMK.L
935,MNCL
936,MNCLU
937,MNCLW
938,MNI
939,MNIA
940,MNIQQ
941,MNK
942,MNLO
943,MNRK
944,MNS.TO
945,MNT.TO
946,MNTA
947,MNW.AX
948,MOBQD
949,MOC
950,MOCO
951,MOGB
952,MON
953,MONC.PA
954,MORE
955,MOS
956,MOSC
957,MPAA
958,MPAC.L
959,MPAD
960,MPB
961,MPC
962,MPCC.OL
963,MPG
964,MPH.L
965,MPJ
966,MPLF.L
967,MPLS.L
968,MPLXP
969,MPO.AX
970,MPSX
971,MPWEE
972,MPX
973,MQR.TO
974,MR
975,MRCCL
976,MRIC
977,MRV.AX
978,MRVC
979,MSBF
980,MSCA
981,MSCC
982,MSE.AX
983,MSFG
984,MSG
985,MSL
986,MSN.DE
987,MSOF
988,MTGE
989,MTGEP
990,MTL.AX
991,MTLQQ
992,MTLQU
993,MTLR.ME
994,MTLS
995,MTSN
996,MUDS
997,MUDSU
998,MUDSW
999,MVC
1000,MVISW
1001,MVNR
1002,MWG
1003,MWG.L
1004,MWO
1005,MWR
1006,MWR.AX
1007,MWW
1008,MXPT
1009,MXSGD
1010,MXT.AX
1011,MXWL
1012,MYA.TO
1013,MYCC
1014,MYL
1015,MYMXE
1016,MYOK
1017,MYOS
1018,MYQ.AX
1019,N
1020,N2F.DE
1021,NAK.L
1022,NAME
1023,NANO.OL
1024,NATL
1025,NATRE
1026,NAV-PD
1027,NAVG
1028,NAVPD
1029,NAWLE
1030,NBA-WT
1031,NBACW
1032,NBB
1033,NBBC
1034,NBDD.L
1035,NBI.AX
1036,NBL
1037,NBLS.L
1038,NCI
1039,NCIT
1040,NCOM
1041,NDGL.NS
1042,NDRAU
1043,NDRAW
1044,NDYND
1045,NE
1046,NE-W
1047,NEBCW
1048,NEBLQ
1049,NEBU
1050,NEBUU
1051,NEE-PO
1052,NEE-PQ
1053,NEEUU
1054,NEFF
1055,NEIKE
1056,NEOND
1057,NEU.BR
1058,NEV
1059,NEWP
1060,NEWS
1061,NF4.DE
1062,NFC
1063,NFH+
1064,NFIN
1065,NFINW
1066,NFX
1067,NGA-UN
1068,NGHC
1069,NGHCP
1070,NGIO
1071,NGL
1072,NGLDD
1073,NGLS
1074,NGLS-PA
1075,NHF
1076,NHICW
1077,NIBC.AS
1078,NIE
1079,NIHD
1080,NIITTECH.NS
1081,NILE
1082,NIMUE
1083,NIQ
1084,NK
1085,NKA
1086,NKLAW
1087,NLNK
1088,NLRT
1089,NLYPD
1090,NMBL
1091,NMFX
1092,NML
1093,NML.TO
1094,NMMC
1095,NMMCU
1096,NMRKV
1097,NMRX
1098,NNPP
1099,NNUPE
1100,NORBIT.OL
1101,NOTR
1102,NOV-W
1103,NOVSU
1104,NOVT
1105,NOW
1106,NP5.DE
1107,NPAWW
1108,NPBC
1109,NPOF.ME
1110,NPWI
1111,NR21.PA
1112,NRCG
1113,NRE
1114,NRF
1115,NRGPA
1116,NRGX
1117,NRI.TO
1118,NRUC
1119,NSAM
1120,NSCO+
1121,NSCO-WT
1122,NSH
1123,NSH-UN
1124,NSI.AS
1125,NSI.L
1126,NSIL.NS
1127,NSM
1128,NSPH
1129,NSPR+
1130,NSPR-WTB
1131,NSPXD
1132,NSR
1133,NSU.DE
1134,NTD.AX
1135,NTG
1136,NTGN
1137,NTGRV
1138,NTI
1139,NTIP
1140,NTIV.SW
1141,NTK
1142,NTLG.L
1143,NTLS
1144,NTR.TO
1145,NTRI
1146,NTRP
1147,NTRR
1148,NTRS
1149,NTRSO
1150,NTRSP
1151,NTS.OL
1152,NTST
1153,NTUS
1154,NTV.L
1155,NTWK
1156,NUOT
1157,NUROW
1158,NUTR
1159,NUVR
1160,NUZE
1161,NVBXU
1162,NVCN
1163,NVCR
1164,NVDA
1165,NVEEW
1166,NVET
1167,NVJP.DE
1168,NVL
1169,NVO.AX
1170,NVSL
1171,NVTK.L
1172,NVUS
1173,NWAY.DE
1174,NWBOW
1175,NWF.L
1176,NWGI
1177,NXEGU
1178,NXTDW
1179,NXTM
1180,NXU.DE
1181,NYC
1182,NYCB-PU
1183,NYNY
1184,NYRT
1185,O1BC.SW
1186,O5Q.DE
1187,OA
1188,OAC
1189,OAC+
1190,OAC-WT
1191,OAK
1192,OAK-PA
1193,OB
1194,OBJ.AX
1195,OCAT
1196,OCIP
1197,OCLR
1198,OCRX
1199,OCT.L
1200,OCWSB
1201,ODP.DE
1202,OEG
1203,OEL.AX
1204,OEQ.AX
1205,OFCPL
1206,OFSSI
1207,OFSSZ
1208,OGEN
1209,OGI
1210,OGI.TO
1211,OGKB.ME
1212,OGN.L
1213,OGS
1214,OGZD.L
1215,OHB.DE
1216,OHGI
1217,OHI
1218,OI
1219,OIA
1220,OIBRQ
1221,OIG.L
1222,OIH.L
1223,OII
1224,OIIMD
1225,OKEY.L
1226,OKS
1227,OKSB
1228,OLBG
1229,OLBK
1230,OLECTRA.NS
1231,OLENW
1232,OLV.AX
1233,OME
1234,OMED
1235,OMMETALS.NS
1236,OMN
1237,OMPS
1238,ONCE
1239,ONDK
1240,ONEQ
1241,ONVI
1242,ONXEO.PA
1243,OOA.L
1244,OOK.AX
1245,OPB
1246,OPC.AX
1247,OPENW
1248,OPES
1249,OPESW
1250,OPGNW
1251,OPINL
1252,OPK
1253,OPL.AX
1254,OPM.L
1255,OPWR
1256,OPX
1257,ORAN
1258,ORANW.AS
1259,ORC
1260,ORCL.SW
1261,OREX
1262,ORG.AX
1263,ORGO
1264,ORPH.L
1265,ORSN
1266,ORSNR
1267,ORSNW
1268,OSB
1269,OSB.TO
1270,OSBCP
1271,OSIR
1272,OSLE
1273,OSM
1274,OSWALAGRO.NS
1275,OSX.AX
1276,OTELLO.OL
1277,OTIV
1278,OTLKW
1279,OTRAW
1280,OTS.OL
1281,OTT.L
1282,OTTR
1283,OUNZ
1284,OUTR
1285,OVH.AX
1286,OVTI
1287,OXC.TO
1288,OXFD
1289,OXISD
1290,OXY+
1291,OXY-WT
1292,OZSC
1293,P
1294,P2P.AX
1295,PAAC
1296,PAACR
1297,PAACU
1298,PACD
1299,PACDQ
1300,PACE-UN
1301,PACE-WT
1302,PACK+
1303,PACQ
1304,PACQU
1305,PACQW
1306,PACVD
1307,PAE.DE
1308,PAEWW
1309,PAF.AX
1310,PAICU
1311,PAL.L
1312,PALL
1313,PAPERPROD.NS
1314,PARG.SW
1315,PATH.TO
1316,PAVMZ
1317,PAY
1318,PB9.DE
1319,PBBI
1320,PBC
1321,PBI-PB
